epoch_h,train_loss,train_acc,val_loss,val_acc,test_loss,test_acc,hyper_param,hp_update
62,0.5521111488342285,0.8,4.72606897354126,0.14,4.064523696899414,0.16,"tensor([-5.9635, -1.4523, -5.8984,  ..., -2.7972, -4.4441, -3.1486],
       device='cuda:0', requires_grad=True)","tensor([0., 0., 0.,  ..., 0., 0., 0.], device='cuda:0')"
63,0.5706881880760193,0.84,4.915224552154541,0.16,4.235311985015869,0.16,"tensor([-5.9697, -1.4383, -5.9087,  ..., -2.7918, -4.4588, -3.1624],
       device='cuda:0', requires_grad=True)","tensor([0., 0., 0.,  ..., 0., 0., 0.], device='cuda:0')"
64,0.5727697610855103,0.8,5.162131309509277,0.14,4.552534103393555,0.1,"tensor([-5.9834, -1.4142, -5.9223,  ..., -2.7755, -4.4800, -3.1809],
       device='cuda:0', requires_grad=True)","tensor([0., 0., 0.,  ..., 0., 0., 0.], device='cuda:0')"
65,0.5161724090576172,0.86,5.079418182373047,0.12,4.492623805999756,0.12,"tensor([-5.9883, -1.4041, -5.9297,  ..., -2.7574, -4.4880, -3.1970],
       device='cuda:0', requires_grad=True)","tensor([0., 0., 0.,  ..., 0., 0., 0.], device='cuda:0')"
66,0.55198073387146,0.8,5.094991683959961,0.16,4.599668979644775,0.16,"tensor([-6.0044, -1.3735, -5.9471,  ..., -2.7334, -4.4982, -3.2130],
       device='cuda:0', requires_grad=True)","tensor([0., 0., 0.,  ..., 0., 0., 0.], device='cuda:0')"
67,0.6144104599952698,0.72,5.116275310516357,0.12,4.702876091003418,0.18,"tensor([-6.0190, -1.3514, -5.9569,  ..., -2.7023, -4.5158, -3.2303],
       device='cuda:0', requires_grad=True)","tensor([0., 0., 0.,  ..., 0., 0., 0.], device='cuda:0')"
68,0.6364625692367554,0.7,4.904477119445801,0.12,4.5321831703186035,0.12,"tensor([-6.0338, -1.3271, -5.9694,  ..., -2.6572, -4.5255, -3.2464],
       device='cuda:0', requires_grad=True)","tensor([0., 0., 0.,  ..., 0., 0., 0.], device='cuda:0')"
69,0.4924050271511078,0.9,4.72700309753418,0.12,4.096426010131836,0.2,"tensor([-6.0341, -1.3198, -5.9766,  ..., -2.6422, -4.5348, -3.2577],
       device='cuda:0', requires_grad=True)","tensor([0., 0., 0.,  ..., 0., 0., 0.], device='cuda:0')"
70,0.5134592056274414,0.92,4.755949974060059,0.16,4.21040678024292,0.2,"tensor([-6.0349, -1.3116, -5.9849,  ..., -2.6523, -4.5480, -3.2693],
       device='cuda:0', requires_grad=True)","tensor([0., 0., 0.,  ..., 0., 0., 0.], device='cuda:0')"
71,0.5420605540275574,0.84,4.87996244430542,0.12,4.430682182312012,0.1,"tensor([-6.0423, -1.2910, -5.9987,  ..., -2.6461, -4.5535, -3.2820],
       device='cuda:0', requires_grad=True)","tensor([0., 0., 0.,  ..., 0., 0., 0.], device='cuda:0')"
72,0.4965393543243408,0.9,4.866520881652832,0.12,4.561077117919922,0.12,"tensor([-6.0519, -1.2688, -6.0138,  ..., -2.6352, -4.5574, -3.2948],
       device='cuda:0', requires_grad=True)","tensor([0., 0., 0.,  ..., 0., 0., 0.], device='cuda:0')"
73,0.470539391040802,0.86,4.97003698348999,0.12,4.647590160369873,0.14,"tensor([-6.0606, -1.2533, -6.0238,  ..., -2.6174, -4.5694, -3.3063],
       device='cuda:0', requires_grad=True)","tensor([0., 0., 0.,  ..., 0., 0., 0.], device='cuda:0')"
74,0.44408130645751953,0.86,5.034287452697754,0.14,4.688321113586426,0.16,"tensor([-6.0649, -1.2394, -6.0340,  ..., -2.6013, -4.5812, -3.3182],
       device='cuda:0', requires_grad=True)","tensor([0., 0., 0.,  ..., 0., 0., 0.], device='cuda:0')"
75,0.41942593455314636,0.92,5.048632621765137,0.12,4.70730447769165,0.16,"tensor([-6.0783, -1.2128, -6.0506,  ..., -2.5862, -4.5832, -3.3298],
       device='cuda:0', requires_grad=True)","tensor([0., 0., 0.,  ..., 0., 0., 0.], device='cuda:0')"
76,0.46855276823043823,0.86,5.122655868530273,0.14,4.648710250854492,0.12,"tensor([-6.0936, -1.1843, -6.0645,  ..., -2.5722, -4.6043, -3.3421],
       device='cuda:0', requires_grad=True)","tensor([0., 0., 0.,  ..., 0., 0., 0.], device='cuda:0')"
77,0.4655541181564331,0.92,4.972898960113525,0.16,4.665765762329102,0.16,"tensor([-6.1091, -1.1584, -6.0769,  ..., -2.5632, -4.6154, -3.3535],
       device='cuda:0', requires_grad=True)","tensor([0., 0., 0.,  ..., 0., 0., 0.], device='cuda:0')"
78,0.44884204864501953,0.88,5.205660343170166,0.12,4.712564468383789,0.12,"tensor([-6.1207, -1.1346, -6.0911,  ..., -2.5577, -4.6181, -3.3658],
       device='cuda:0', requires_grad=True)","tensor([0., 0., 0.,  ..., 0., 0., 0.], device='cuda:0')"
79,0.40733838081359863,0.88,5.286510467529297,0.1,4.808523654937744,0.12,"tensor([-6.1353, -1.1088, -6.1043,  ..., -2.5696, -4.6260, -3.3768],
       device='cuda:0', requires_grad=True)","tensor([0., 0., 0.,  ..., 0., 0., 0.], device='cuda:0')"
80,0.42149466276168823,0.88,5.281156539916992,0.14,4.682363510131836,0.12,"tensor([-6.1302, -1.1110, -6.1086,  ..., -2.5795, -4.6304, -3.3859],
       device='cuda:0', requires_grad=True)","tensor([0., 0., 0.,  ..., 0., 0., 0.], device='cuda:0')"
81,0.5368422865867615,0.82,5.33272647857666,0.1,4.568094730377197,0.16,"tensor([-6.1198, -1.1194, -6.1125,  ..., -2.5996, -4.6318, -3.3935],
       device='cuda:0', requires_grad=True)","tensor([0., 0., 0.,  ..., 0., 0., 0.], device='cuda:0')"
82,0.4814111292362213,0.78,5.293688774108887,0.14,4.6311421394348145,0.14,"tensor([-6.1101, -1.1306, -6.1147,  ..., -2.6145, -4.6364, -3.4002],
       device='cuda:0', requires_grad=True)","tensor([0., 0., 0.,  ..., 0., 0., 0.], device='cuda:0')"
83,0.5219177603721619,0.8,5.168461799621582,0.12,4.509116172790527,0.14,"tensor([-6.0887, -1.1567, -6.1125,  ..., -2.6146, -4.6433, -3.4070],
       device='cuda:0', requires_grad=True)","tensor([0., 0., 0.,  ..., 0., 0., 0.], device='cuda:0')"
84,0.533420205116272,0.86,5.180843353271484,0.1,4.525289058685303,0.14,"tensor([-6.0719, -1.1736, -6.1122,  ..., -2.6398, -4.6475, -3.4154],
       device='cuda:0', requires_grad=True)","tensor([0., 0., 0.,  ..., 0., 0., 0.], device='cuda:0')"
85,0.43262019753456116,0.96,5.146551609039307,0.14,4.684850692749023,0.16,"tensor([-6.0676, -1.1776, -6.1157,  ..., -2.6323, -4.6497, -3.4235],
       device='cuda:0', requires_grad=True)","tensor([0., 0., 0.,  ..., 0., 0., 0.], device='cuda:0')"
86,0.3845617175102234,0.94,5.1708221435546875,0.16,4.913863658905029,0.14,"tensor([-6.0867, -1.1573, -6.1260,  ..., -2.6282, -4.6537, -3.4320],
       device='cuda:0', requires_grad=True)","tensor([0., 0., 0.,  ..., 0., 0., 0.], device='cuda:0')"
87,0.4029886722564697,0.9,5.235659122467041,0.1,4.784980297088623,0.12,"tensor([-6.0927, -1.1484, -6.1334,  ..., -2.6175, -4.6628, -3.4420],
       device='cuda:0', requires_grad=True)","tensor([0., 0., 0.,  ..., 0., 0., 0.], device='cuda:0')"
88,0.39379116892814636,0.88,5.099200248718262,0.18,5.004794120788574,0.14,"tensor([-6.1040, -1.1344, -6.1425,  ..., -2.5962, -4.6603, -3.4521],
       device='cuda:0', requires_grad=True)","tensor([0., 0., 0.,  ..., 0., 0., 0.], device='cuda:0')"
89,0.4165993928909302,0.94,4.996837139129639,0.16,4.809295177459717,0.14,"tensor([-6.1200, -1.1135, -6.1537,  ..., -2.5875, -4.6685, -3.4615],
       device='cuda:0', requires_grad=True)","tensor([0., 0., 0.,  ..., 0., 0., 0.], device='cuda:0')"
90,0.4175618886947632,0.88,4.915894031524658,0.16,4.657183647155762,0.14,"tensor([-6.1252, -1.1074, -6.1602,  ..., -2.5799, -4.6811, -3.4705],
       device='cuda:0', requires_grad=True)","tensor([0., 0., 0.,  ..., 0., 0., 0.], device='cuda:0')"
91,0.40736374258995056,0.94,4.910809516906738,0.12,4.634819507598877,0.12,"tensor([-6.1278, -1.1064, -6.1634,  ..., -2.5611, -4.6874, -3.4785],
       device='cuda:0', requires_grad=True)","tensor([0., 0., 0.,  ..., 0., 0., 0.], device='cuda:0')"
92,0.4258127510547638,0.92,4.815789699554443,0.12,4.409576892852783,0.14,"tensor([-6.1354, -1.0999, -6.1685,  ..., -2.5718, -4.6907, -3.4852],
       device='cuda:0', requires_grad=True)","tensor([0., 0., 0.,  ..., 0., 0., 0.], device='cuda:0')"
93,0.44428181648254395,0.88,4.813259601593018,0.12,4.25709867477417,0.16,"tensor([-6.1242, -1.1119, -6.1685,  ..., -2.5967, -4.6910, -3.4923],
       device='cuda:0', requires_grad=True)","tensor([0., 0., 0.,  ..., 0., 0., 0.], device='cuda:0')"
94,0.46253764629364014,0.84,4.757284164428711,0.12,4.3895392417907715,0.12,"tensor([-6.1182, -1.1188, -6.1703,  ..., -2.5919, -4.6949, -3.4999],
       device='cuda:0', requires_grad=True)","tensor([0., 0., 0.,  ..., 0., 0., 0.], device='cuda:0')"
95,0.42138656973838806,0.96,4.687678337097168,0.1,4.331283092498779,0.12,"tensor([-6.1093, -1.1310, -6.1686,  ..., -2.5723, -4.7070, -3.5074],
       device='cuda:0', requires_grad=True)","tensor([0., 0., 0.,  ..., 0., 0., 0.], device='cuda:0')"
96,0.48774200677871704,0.86,4.658935070037842,0.14,4.541370391845703,0.12,"tensor([-6.1038, -1.1392, -6.1690,  ..., -2.5495, -4.7204, -3.5148],
       device='cuda:0', requires_grad=True)","tensor([0., 0., 0.,  ..., 0., 0., 0.], device='cuda:0')"
97,0.4463876783847809,0.9,4.683766841888428,0.12,4.452617645263672,0.14,"tensor([-6.0877, -1.1601, -6.1628,  ..., -2.5306, -4.7300, -3.5219],
       device='cuda:0', requires_grad=True)","tensor([0., 0., 0.,  ..., 0., 0., 0.], device='cuda:0')"
